"Subject","DataType","Stage","List","Item","Restrictor","Condition","Simple","Pronoun","Quant","Binding","Control","Modal","Adverb","Unacc","Pass","Construction","Value","Where","Order","Zscore","Age","Education","Gender","Postcode"
"1","scale1","experiment","B",1,1,"simple",1,0,0,0,0,0,0,0,0,"eats",2,1,4,-0.896735868834487,"18-29","BA","Female","Northampton "
"1","scale1","experiment","B",1,0,"simple",1,0,0,0,0,0,0,0,0,"eats",1,0,25,-1.39978281964408,"18-29","BA","Female","Northampton "
"1","scale1","experiment","B",2,0,"antecedent",0,1,0,0,0,0,0,0,0,"antecedent",2,1,15,-0.896735868834487,"18-29","BA","Female","Northampton "
"1","scale1","experiment","B",2,1,"antecedent",0,1,0,0,0,0,0,0,0,"antecedent",5,0,37,0.612404983594284,"18-29","BA","Female","Northampton "
"1","scale1","experiment","B",3,1,"anywhere",0,0,1,0,0,0,0,0,0,"anywhere",1,1,32,-1.39978281964408,"18-29","BA","Female","Northampton "
"1","scale1","experiment","B",3,0,"anywhere",0,0,1,0,0,0,0,0,0,"anywhere",6,0,39,1.11545193440387,"18-29","BA","Female","Northampton "
"1","scale1","experiment","B",4,0,"nowhere",0,0,1,0,0,0,0,0,0,"nowhere",1,1,30,-1.39978281964408,"18-29","BA","Female","Northampton "
"1","scale1","experiment","B",4,1,"nowhere",0,0,1,0,0,0,0,0,0,"nowhere",6,0,36,1.11545193440387,"18-29","BA","Female","Northampton "
"1","scale1","experiment","B",5,1,"binding",0,0,0,1,0,0,0,0,0,"themselves",3,1,18,-0.393688918024897,"18-29","BA","Female","Northampton "
"1","scale1","experiment","B",5,0,"binding",0,0,0,1,0,0,0,0,0,"themselves",6,0,42,1.11545193440387,"18-29","BA","Female","Northampton "
"1","scale1","experiment","B",6,1,"binding",0,0,0,1,0,0,0,0,0,"each other",7,0,8,1.61849888521346,"18-29","BA","Female","Northampton "
"1","scale1","experiment","B",6,0,"binding",0,0,0,1,0,0,0,0,0,"each other",1,1,9,-1.39978281964408,"18-29","BA","Female","Northampton "
"1","scale1","experiment","B",7,1,"binding",0,0,0,1,0,0,0,0,0,"their",5,1,14,0.612404983594284,"18-29","BA","Female","Northampton "
"1","scale1","experiment","B",7,0,"binding",0,0,0,1,0,0,0,0,0,"their",4,0,46,0.109358032784694,"18-29","BA","Female","Northampton "
"1","scale1","experiment","B",8,1,"control",0,0,0,0,1,0,0,0,0,"try",5,0,19,0.612404983594284,"18-29","BA","Female","Northampton "
"1","scale1","experiment","B",8,0,"control",0,0,0,0,1,0,0,0,0,"try",1,1,34,-1.39978281964408,"18-29","BA","Female","Northampton "
"1","scale1","experiment","B",9,1,"somewhere",0,0,1,0,0,0,0,0,0,"somewhere",6,1,5,1.11545193440387,"18-29","BA","Female","Northampton "
"1","scale1","experiment","B",9,0,"somewhere",0,0,1,0,0,0,0,0,0,"somewhere",2,0,27,-0.896735868834487,"18-29","BA","Female","Northampton "
"1","scale1","experiment","B",10,1,"modal",0,0,0,0,0,1,0,0,0,"can",5,0,1,0.612404983594284,"18-29","BA","Female","Northampton "
"1","scale1","experiment","B",10,0,"modal",0,0,0,0,0,1,0,0,0,"can",2,1,17,-0.896735868834487,"18-29","BA","Female","Northampton "
"1","scale1","experiment","B",11,0,"modal",0,0,0,0,0,1,0,0,0,"middle",1,0,11,-1.39978281964408,"18-29","BA","Female","Northampton "
"1","scale1","experiment","B",11,1,"modal",0,0,0,0,0,1,0,0,0,"middle",5,1,12,0.612404983594284,"18-29","BA","Female","Northampton "
"1","scale1","experiment","B",12,0,"modal",0,0,0,0,0,1,0,0,0,"negation",6,1,6,1.11545193440387,"18-29","BA","Female","Northampton "
"1","scale1","experiment","B",12,1,"modal",0,0,0,0,0,1,0,0,0,"negation",5,0,45,0.612404983594284,"18-29","BA","Female","Northampton "
"1","scale1","experiment","B",13,1,"modal",0,0,0,0,0,1,0,0,0,"question",1,1,31,-1.39978281964408,"18-29","BA","Female","Northampton "
"1","scale1","experiment","B",13,0,"modal",0,0,0,0,0,1,0,0,0,"question",4,0,35,0.109358032784694,"18-29","BA","Female","Northampton "
"1","scale1","experiment","B",14,1,"psych",1,0,0,0,0,0,0,0,0,"hates",5,0,10,0.612404983594284,"18-29","BA","Female","Northampton "
"1","scale1","experiment","B",14,0,"psych",1,0,0,0,0,0,0,0,0,"hates",3,1,28,-0.393688918024897,"18-29","BA","Female","Northampton "
"1","scale1","experiment","B",15,1,"adverb",0,0,0,0,0,0,1,0,0,"deliberately",6,1,33,1.11545193440387,"18-29","BA","Female","Northampton "
"1","scale1","experiment","B",15,0,"adverb",0,0,0,0,0,0,1,0,0,"deliberately",6,0,41,1.11545193440387,"18-29","BA","Female","Northampton "
"1","scale1","experiment","B",16,1,"adverb",0,0,0,0,0,0,1,0,0,"shoeless",2,0,23,-0.896735868834487,"18-29","BA","Female","Northampton "
"1","scale1","experiment","B",16,0,"adverb",0,0,0,0,0,0,1,0,0,"shoeless",4,1,26,0.109358032784694,"18-29","BA","Female","Northampton "
"1","scale1","experiment","B",17,1,"adverb",0,0,0,0,0,0,1,0,0,"using",3,1,16,-0.393688918024897,"18-29","BA","Female","Northampton "
"1","scale1","experiment","B",17,0,"adverb",0,0,0,0,0,0,1,0,0,"using",7,0,40,1.61849888521346,"18-29","BA","Female","Northampton "
"1","scale1","experiment","B",18,0,"unacc",0,0,0,0,0,0,0,1,0,"motion",4,1,7,0.109358032784694,"18-29","BA","Female","Northampton "
"1","scale1","experiment","B",18,1,"unacc",0,0,0,0,0,0,0,1,0,"motion",4,0,43,0.109358032784694,"18-29","BA","Female","Northampton "
"1","scale1","experiment","B",19,0,"unacc",0,0,0,0,0,0,0,1,0,"cos",5,0,13,0.612404983594284,"18-29","BA","Female","Northampton "
"1","scale1","experiment","B",19,1,"unacc",0,0,0,0,0,0,0,1,0,"cos",6,1,24,1.11545193440387,"18-29","BA","Female","Northampton "
"1","scale1","experiment","B",20,1,"pass",0,0,0,0,0,0,0,0,1,"passive",6,0,2,1.11545193440387,"18-29","BA","Female","Northampton "
"1","scale1","experiment","B",20,0,"pass",0,0,0,0,0,0,0,0,1,"passive",2,1,29,-0.896735868834487,"18-29","BA","Female","Northampton "
"1","scale1","experiment","B",21,1,"gold-good",0,0,0,0,0,0,0,0,0,"gold-good-everywhere",2,1,3,-0.896735868834487,"18-29","BA","Female","Northampton "
"1","scale1","experiment","B",22,0,"gold-good",0,0,0,0,0,0,0,0,0,"gold-good-everywhere",5,1,22,0.612404983594284,"18-29","BA","Female","Northampton "
"1","scale1","experiment","B",23,1,"gold-good",0,0,0,0,0,0,0,0,0,"gold-good-nowhere",6,1,21,1.11545193440387,"18-29","BA","Female","Northampton "
"1","scale1","experiment","B",24,1,"gold-bad",0,0,0,0,0,0,0,0,0,"gold-bad-everywhere",1,1,38,-1.39978281964408,"18-29","BA","Female","Northampton "
"1","scale1","experiment","B",25,0,"gold-bad",0,0,0,0,0,0,0,0,0,"gold-bad-everywhere",1,1,20,-1.39978281964408,"18-29","BA","Female","Northampton "
"1","scale1","experiment","B",26,0,"gold-bad",0,0,0,0,0,0,0,0,0,"gold-bad-nowhere",3,1,44,-0.393688918024897,"18-29","BA","Female","Northampton "
